dataset,backbone,loss,bits,features,applicable,feature_definition,protocol,map_pct,codes_file,source
Houston2013,SSFTT,CSQ,16,cls,yes,,,,codes/Houston2013/SSFTT/CSQ/16/cls.npz,
Houston2013,SSFTT,CSQ,16,all,yes,,,,codes/Houston2013/SSFTT/CSQ/16/all.npz,
Houston2013,SSFTT,CSQ,32,cls,yes,,,,codes/Houston2013/SSFTT/CSQ/32/cls.npz,
Houston2013,SSFTT,CSQ,32,all,yes,,,,codes/Houston2013/SSFTT/CSQ/32/all.npz,
Houston2013,SSFTT,CSQ,64,cls,yes,,,,codes/Houston2013/SSFTT/CSQ/64/cls.npz,
Houston2013,SSFTT,CSQ,64,all,yes,,,,codes/Houston2013/SSFTT/CSQ/64/all.npz,
Houston2013,SSFTT,DPN,16,cls,yes,,,,codes/Houston2013/SSFTT/DPN/16/cls.npz,
Houston2013,SSFTT,DPN,16,all,yes,,,,codes/Houston2013/SSFTT/DPN/16/all.npz,
Houston2013,SSFTT,DPN,32,cls,yes,,,,codes/Houston2013/SSFTT/DPN/32/cls.npz,
Houston2013,SSFTT,DPN,32,all,yes,,,,codes/Houston2013/SSFTT/DPN/32/all.npz,
Houston2013,SSFTT,DPN,64,cls,yes,,,,codes/Houston2013/SSFTT/DPN/64/cls.npz,
Houston2013,SSFTT,DPN,64,all,yes,,,,codes/Houston2013/SSFTT/DPN/64/all.npz,
Houston2013,SSFTT,DSH,16,cls,yes,,,,codes/Houston2013/SSFTT/DSH/16/cls.npz,
Houston2013,SSFTT,DSH,16,all,yes,,,,codes/Houston2013/SSFTT/DSH/16/all.npz,
Houston2013,SSFTT,DSH,32,cls,yes,,,,codes/Houston2013/SSFTT/DSH/32/cls.npz,
Houston2013,SSFTT,DSH,32,all,yes,,,,codes/Houston2013/SSFTT/DSH/32/all.npz,
Houston2013,SSFTT,DSH,64,cls,yes,,,,codes/Houston2013/SSFTT/DSH/64/cls.npz,
Houston2013,SSFTT,DSH,64,all,yes,,,,codes/Houston2013/SSFTT/DSH/64/all.npz,
Houston2013,SSFTT,GreedyHash,16,cls,yes,,,,codes/Houston2013/SSFTT/GreedyHash/16/cls.npz,
Houston2013,SSFTT,GreedyHash,16,all,yes,,,,codes/Houston2013/SSFTT/GreedyHash/16/all.npz,
Houston2013,SSFTT,GreedyHash,32,cls,yes,,,,codes/Houston2013/SSFTT/GreedyHash/32/cls.npz,
Houston2013,SSFTT,GreedyHash,32,all,yes,,,,codes/Houston2013/SSFTT/GreedyHash/32/all.npz,
Houston2013,SSFTT,GreedyHash,64,cls,yes,,,,codes/Houston2013/SSFTT/GreedyHash/64/cls.npz,
Houston2013,SSFTT,GreedyHash,64,all,yes,,,,codes/Houston2013/SSFTT/GreedyHash/64/all.npz,
Houston2013,SSFTT,HashNet,16,cls,yes,,,,codes/Houston2013/SSFTT/HashNet/16/cls.npz,
Houston2013,SSFTT,HashNet,16,all,yes,,,,codes/Houston2013/SSFTT/HashNet/16/all.npz,
Houston2013,SSFTT,HashNet,32,cls,yes,,,,codes/Houston2013/SSFTT/HashNet/32/cls.npz,
Houston2013,SSFTT,HashNet,32,all,yes,,,,codes/Houston2013/SSFTT/HashNet/32/all.npz,
Houston2013,SSFTT,HashNet,64,cls,yes,,,,codes/Houston2013/SSFTT/HashNet/64/cls.npz,
Houston2013,SSFTT,HashNet,64,all,yes,,,,codes/Houston2013/SSFTT/HashNet/64/all.npz,
Houston2013,SSFTT,IDHN,16,cls,yes,,,,codes/Houston2013/SSFTT/IDHN/16/cls.npz,
Houston2013,SSFTT,IDHN,16,all,yes,,,,codes/Houston2013/SSFTT/IDHN/16/all.npz,
Houston2013,SSFTT,IDHN,32,cls,yes,,,,codes/Houston2013/SSFTT/IDHN/32/cls.npz,
Houston2013,SSFTT,IDHN,32,all,yes,,,,codes/Houston2013/SSFTT/IDHN/32/all.npz,
Houston2013,SSFTT,IDHN,64,cls,yes,,,,codes/Houston2013/SSFTT/IDHN/64/cls.npz,
Houston2013,SSFTT,IDHN,64,all,yes,,,,codes/Houston2013/SSFTT/IDHN/64/all.npz,
Houston2013,SSFTT,OrthoHash,16,cls,yes,,,,codes/Houston2013/SSFTT/OrthoHash/16/cls.npz,
Houston2013,SSFTT,OrthoHash,16,all,yes,,,,codes/Houston2013/SSFTT/OrthoHash/16/all.npz,
Houston2013,SSFTT,OrthoHash,32,cls,yes,,,,codes/Houston2013/SSFTT/OrthoHash/32/cls.npz,
Houston2013,SSFTT,OrthoHash,32,all,yes,,,,codes/Houston2013/SSFTT/OrthoHash/32/all.npz,
Houston2013,SSFTT,OrthoHash,64,cls,yes,,,,codes/Houston2013/SSFTT/OrthoHash/64/cls.npz,
Houston2013,SSFTT,OrthoHash,64,all,yes,,,,codes/Houston2013/SSFTT/OrthoHash/64/all.npz,
Houston2013,SSFTT,DSPCH,16,cls,yes,,,,codes/Houston2013/SSFTT/DSPCH/16/cls.npz,
Houston2013,SSFTT,DSPCH,16,all,yes,,,,codes/Houston2013/SSFTT/DSPCH/16/all.npz,
Houston2013,SSFTT,DSPCH,32,cls,yes,,,,codes/Houston2013/SSFTT/DSPCH/32/cls.npz,
Houston2013,SSFTT,DSPCH,32,all,yes,,,,codes/Houston2013/SSFTT/DSPCH/32/all.npz,
Houston2013,SSFTT,DSPCH,64,cls,yes,,,,codes/Houston2013/SSFTT/DSPCH/64/cls.npz,
Houston2013,SSFTT,DSPCH,64,all,yes,,,,codes/Houston2013/SSFTT/DSPCH/64/all.npz,
Houston2013,SSFTT,DHNN,16,cls,yes,,,,codes/Houston2013/SSFTT/DHNN/16/cls.npz,
Houston2013,SSFTT,DHNN,16,all,yes,,,,codes/Houston2013/SSFTT/DHNN/16/all.npz,
Houston2013,SSFTT,DHNN,32,cls,yes,,,,codes/Houston2013/SSFTT/DHNN/32/cls.npz,
Houston2013,SSFTT,DHNN,32,all,yes,,,,codes/Houston2013/SSFTT/DHNN/32/all.npz,
Houston2013,SSFTT,DHNN,64,cls,yes,,,,codes/Houston2013/SSFTT/DHNN/64/cls.npz,
Houston2013,SSFTT,DHNN,64,all,yes,,,,codes/Houston2013/SSFTT/DHNN/64/all.npz,
Houston2013,Mamba,CSQ,16,cls,yes,,,,codes/Houston2013/Mamba/CSQ/16/cls.npz,
Houston2013,Mamba,CSQ,16,all,yes,,,,codes/Houston2013/Mamba/CSQ/16/all.npz,
Houston2013,Mamba,CSQ,32,cls,yes,,,,codes/Houston2013/Mamba/CSQ/32/cls.npz,
Houston2013,Mamba,CSQ,32,all,yes,,,,codes/Houston2013/Mamba/CSQ/32/all.npz,
Houston2013,Mamba,CSQ,64,cls,yes,,,,codes/Houston2013/Mamba/CSQ/64/cls.npz,
Houston2013,Mamba,CSQ,64,all,yes,,,,codes/Houston2013/Mamba/CSQ/64/all.npz,
Houston2013,Mamba,DPN,16,cls,yes,,,,codes/Houston2013/Mamba/DPN/16/cls.npz,
Houston2013,Mamba,DPN,16,all,yes,,,,codes/Houston2013/Mamba/DPN/16/all.npz,
Houston2013,Mamba,DPN,32,cls,yes,,,,codes/Houston2013/Mamba/DPN/32/cls.npz,
Houston2013,Mamba,DPN,32,all,yes,,,,codes/Houston2013/Mamba/DPN/32/all.npz,
Houston2013,Mamba,DPN,64,cls,yes,,,,codes/Houston2013/Mamba/DPN/64/cls.npz,
Houston2013,Mamba,DPN,64,all,yes,,,,codes/Houston2013/Mamba/DPN/64/all.npz,
Houston2013,Mamba,DSH,16,cls,yes,,,,codes/Houston2013/Mamba/DSH/16/cls.npz,
Houston2013,Mamba,DSH,16,all,yes,,,,codes/Houston2013/Mamba/DSH/16/all.npz,
Houston2013,Mamba,DSH,32,cls,yes,,,,codes/Houston2013/Mamba/DSH/32/cls.npz,
Houston2013,Mamba,DSH,32,all,yes,,,,codes/Houston2013/Mamba/DSH/32/all.npz,
Houston2013,Mamba,DSH,64,cls,yes,,,,codes/Houston2013/Mamba/DSH/64/cls.npz,
Houston2013,Mamba,DSH,64,all,yes,,,,codes/Houston2013/Mamba/DSH/64/all.npz,
Houston2013,Mamba,GreedyHash,16,cls,yes,,,,codes/Houston2013/Mamba/GreedyHash/16/cls.npz,
Houston2013,Mamba,GreedyHash,16,all,yes,,,,codes/Houston2013/Mamba/GreedyHash/16/all.npz,
Houston2013,Mamba,GreedyHash,32,cls,yes,,,,codes/Houston2013/Mamba/GreedyHash/32/cls.npz,
Houston2013,Mamba,GreedyHash,32,all,yes,,,,codes/Houston2013/Mamba/GreedyHash/32/all.npz,
Houston2013,Mamba,GreedyHash,64,cls,yes,,,,codes/Houston2013/Mamba/GreedyHash/64/cls.npz,
Houston2013,Mamba,GreedyHash,64,all,yes,,,,codes/Houston2013/Mamba/GreedyHash/64/all.npz,
Houston2013,Mamba,HashNet,16,cls,yes,,,,codes/Houston2013/Mamba/HashNet/16/cls.npz,
Houston2013,Mamba,HashNet,16,all,yes,,,,codes/Houston2013/Mamba/HashNet/16/all.npz,
Houston2013,Mamba,HashNet,32,cls,yes,,,,codes/Houston2013/Mamba/HashNet/32/cls.npz,
Houston2013,Mamba,HashNet,32,all,yes,,,,codes/Houston2013/Mamba/HashNet/32/all.npz,
Houston2013,Mamba,HashNet,64,cls,yes,,,,codes/Houston2013/Mamba/HashNet/64/cls.npz,
Houston2013,Mamba,HashNet,64,all,yes,,,,codes/Houston2013/Mamba/HashNet/64/all.npz,
Houston2013,Mamba,IDHN,16,cls,yes,,,,codes/Houston2013/Mamba/IDHN/16/cls.npz,
Houston2013,Mamba,IDHN,16,all,yes,,,,codes/Houston2013/Mamba/IDHN/16/all.npz,
Houston2013,Mamba,IDHN,32,cls,yes,,,,codes/Houston2013/Mamba/IDHN/32/cls.npz,
Houston2013,Mamba,IDHN,32,all,yes,,,,codes/Houston2013/Mamba/IDHN/32/all.npz,
Houston2013,Mamba,IDHN,64,cls,yes,,,,codes/Houston2013/Mamba/IDHN/64/cls.npz,
Houston2013,Mamba,IDHN,64,all,yes,,,,codes/Houston2013/Mamba/IDHN/64/all.npz,
Houston2013,Mamba,OrthoHash,16,cls,yes,,,,codes/Houston2013/Mamba/OrthoHash/16/cls.npz,
Houston2013,Mamba,OrthoHash,16,all,yes,,,,codes/Houston2013/Mamba/OrthoHash/16/all.npz,
Houston2013,Mamba,OrthoHash,32,cls,yes,,,,codes/Houston2013/Mamba/OrthoHash/32/cls.npz,
Houston2013,Mamba,OrthoHash,32,all,yes,,,,codes/Houston2013/Mamba/OrthoHash/32/all.npz,
Houston2013,Mamba,OrthoHash,64,cls,yes,,,,codes/Houston2013/Mamba/OrthoHash/64/cls.npz,
Houston2013,Mamba,OrthoHash,64,all,yes,,,,codes/Houston2013/Mamba/OrthoHash/64/all.npz,
Houston2013,Mamba,DSPCH,16,cls,yes,,,,codes/Houston2013/Mamba/DSPCH/16/cls.npz,
Houston2013,Mamba,DSPCH,16,all,yes,,,,codes/Houston2013/Mamba/DSPCH/16/all.npz,
Houston2013,Mamba,DSPCH,32,cls,yes,,,,codes/Houston2013/Mamba/DSPCH/32/cls.npz,
Houston2013,Mamba,DSPCH,32,all,yes,,,,codes/Houston2013/Mamba/DSPCH/32/all.npz,
Houston2013,Mamba,DSPCH,64,cls,yes,,,,codes/Houston2013/Mamba/DSPCH/64/cls.npz,
Houston2013,Mamba,DSPCH,64,all,yes,,,,codes/Houston2013/Mamba/DSPCH/64/all.npz,
